,phrase,frequency
734,她俩,129
735,亚瑟,87
736,中二病,1492
737,美丽,604
738,月亮,198
739,光芒,38
740,说不定,102
741,恩奇,29
742,心里,381
743,油然而生,1
744,遗失,25
745,温柔乡,3
746,精修,6
747,补匠,5
748,军团迷,1
749,听见,145
750,二柱子,176
751,神谷,24
752,娘娘,25
753,哈哈哈,3869
754,奥尔加,21
755,卡大佐,2
756,飞碟行,1
757,飞碟,4
758,灵体,12
759,特殊,180
760,TRA,2
761,CEON,2
762,剑士,99
763,张张,1
764,壁纸,80
765,打斗,47
766,场面,1041
767,现在,4030
768,绝子,18
769,巷子,23
770,同盟,29
771,处理,155
772,记忆,491
773,上代,7
774,前辈,144
775,劫掠,9
776,猎人,73
777,配角,171
778,反派,1076
779,这才,922
780,健全,12
781,滑稽,489
782,什么的,175
783,为啥,819
784,那么,1831
785,豪华,53
786,声优,1105
787,阵容,55
788,计事,3
789,织天覆七,1
790,圆环,13
791,听说,166
792,阿B,3
793,排序,3
794,观影,4
795,顺序,35
796,圣遗孀,29
797,爱情,747
798,就此,41
799,展开,119
800,KUSO,1181
801,地下,97
802,象链,1
803,正在,967
804,登录,137
805,造型,95
806,参考,196
807,圣剑,149
808,男saber,1
809,毒舌,1253
810,光是,36
811,要不是,137
812,为了,1713
813,宝物,27
814,真是,2425
815,冬木凛,1
816,跨步,3
817,电压,5
818,画质,315
819,真坏,7
820,告慰,1
821,远板家,4
822,卫宫,472
823,孩子,2384
824,联手,37
825,对抗,123
826,外界,19
827,势力,115
828,客串,126
829,超配,2
830,杯子,186
831,破坏,235
832,内容,166
833,期限,8
834,缩短,11
835,写实,6
836,农村,19
837,很多,485
838,抱养,1
839,之间,533
840,熟人,49
841,关系,1237
842,环境,148
843,代代,68
844,代代神,7
845,错人,71
846,抱歉,275
847,剑指,7
848,骨头,559
849,目前,267
850,为止,88
851,正脸,75
852,镜头,275
853,这部,464
854,番木有,1
855,男主,9403
856,仪式,78
857,直呼,1533
858,内行,1749
859,御主会,1
860,历史,880
861,或者,185
862,神话,106
863,人物,228
864,咒白,2
865,黑头发,7
866,这时,166
867,候士郎,4
868,旁边,410
869,偷看,78
870,乙游,3
871,视感,499
872,阵上,3
873,史诗,13
874,发带,5
875,凛送,2
876,珍视,19
877,jk,1211
878,桐姥爷,162
879,cue,53
880,肉身,36
881,这次,698
882,实际上,283
883,想要,521
884,保护凛,2
885,烫头,7
886,雁叔,30
887,来气,19
888,小号,193
889,哪里,757
890,使臣,1
891,这不,2192
892,之前,1270
893,中世纪,26
894,按E,67
895,戴上,72
896,石鬼面,22
897,劝架,11
898,想到,1799
899,zero里,5
900,custer,1
901,五三,24
902,想想,241
903,冬木,108
904,女儿,739
905,背锅,211
906,如此,722
907,快炫,2
908,鬼面,79
909,阿瓦隆,135
910,身边,363
911,作用,274
912,普通人,331
913,乖巧,76
914,站姿,41
915,问题,1399
916,说明,342
917,他大姨妈,1193
918,小孩,310
919,哈哈哈哈,2962
920,库丘,5
921,林枪哥迪,2
922,卢木多,2
923,四战,54
924,人望,5
925,周知,25
926,反向,208
927,完全,991
928,现世,19
929,剩余,20
930,积攒,3
931,比较,344
932,阴阳,34
933,眼熟,141
934,天然呆,1249
935,声音,2094
936,变得,97
937,Saber,218
938,紅aの,1
939,疑惑,181
940,剑阶,11
941,职介,62
942,赋予,25
943,一定,1699
944,加成,62
945,其中,132
946,最多,207
947,正常,1340
948,情况,572
949,冬木市,58
950,解释,395
951,hentai,1261
952,弓箭,75
953,一般,527
954,箭所以,1
955,过分,552
956,正常人,446
957,千里眼,34
958,预知,41
959,未来,648
